p1,c1,d1,p2,c2,d2,p0,a,d0,s,r,f,x1,x2,x3,x4
0.0536,3.5374,8.4509,0.2072,26.8607,6.8221,0.3259,4.5718,7.775,39.7696,9.6544,34.9292,0,0,0,0
0.2966,2.0879,2.9409,0.2486,22.0073,6.395,0.2411,14.2464,1.8018,38.4286,13.5301,31.3742,1,0,1,0
0.1206,2.6692,3.5199,0.3164,36.9448,9.4322,0.1311,7.0668,5.676,89.5629,7.0602,28.6072,1,0,0,1
0.3383,12.4944,9.2103,0.1686,23.1583,4.1829,0.1878,8.5471,2.3902,70.2723,5.0676,13.9346,0,0,1,1
0.1251,12.1818,4.0503,0.3287,30.9142,8.1694,0.1615,11.1734,1.5873,58.8852,46.8646,8.939,0,0,1,1
0.3356,12.9738,3.9422,0.0245,26.4705,9.8683,0.186,5.9646,1.4003,89.4791,6.6528,33.7844,1,0,0,1
0.3499,5.3113,0.6155,0.2702,32.1267,4.6431,0.0477,9.4995,7.0598,54.6983,45.0441,2.1422,1,0,1,1
0.0514,8.1228,1.3229,0.2301,27.4272,8.9124,0.2523,12.2743,3.1803,32.1414,24.3128,39.9484,1,0,1,0
0.2206,12.5352,2.0664,0.327,27.3328,9.572,0.112,8.3172,3.8827,113.1461,17.9313,14.864,1,0,1,1
0.2883,3.9407,7.624,0.2407,5.4777,1.7167,0.1786,10.0131,3.1242,52.5296,37.1843,10.158,0,1,1,0
0.2164,7.4312,4.5209,0.3259,32.1125,5.7025,0.1932,13.4356,5.0534,119.2025,24.9092,10.2431,1,0,1,1
0.1374,6.5625,6.7365,0.0592,12.1541,9.1954,0.1784,2.7713,4.2635,118.1898,22.3489,40.8082,0,0,1,0
0.0493,11.9706,9.4071,0.3368,28.8558,6.5971,0.2209,4.4606,1.0242,118.445,28.5709,26.0472,0,0,1,1
0.2459,7.8818,7.2345,0.2839,28.2674,8.9702,0.3217,12.5048,6.8413,60.1213,13.3958,35.7518,1,1,0,1
0.3033,4.7765,5.1336,0.3467,28.2085,1.0186,0.08,9.5769,2.4224,36.82,42.0955,33.2784,1,1,1,0
0.321,12.2943,6.3766,0.3071,24.8797,7.3314,0.1555,10.5558,7.304,67.0043,14.0077,38.4497,1,1,0,0
0.1525,10.6333,4.5107,0.1946,29.3253,4.0613,0.0789,10.2887,7.8653,85.6418,42.6939,32.329,1,1,0,1
0.1483,4.259,8.6585,0.284,16.6011,4.4496,0.2346,5.3006,3.6337,35.4092,44.1648,34.6232,0,0,1,0
0.2274,13.6868,4.3888,0.2141,36.6951,9.1819,0.1704,10.9095,2.9404,41.2146,13.428,27.8311,1,0,1,1
0.2936,4.767,5.8212,0.2453,39.6084,3.0145,0.1739,7.2229,7.3718,56.1591,42.5254,1.8627,0,0,1,1
0.0409,7.3465,3.2361,0.1698,27.3943,0.6507,0.2733,10.6612,1.3083,102.5981,36.0454,24.7405,0,1,1,1
0.2114,10.6146,5.8176,0.2219,29.4759,7.9322,0.0466,3.9248,5.9143,106.6062,34.1122,30.4197,1,1,0,1
0.3334,8.1441,7.6914,0.1989,10.7473,2.2842,0.1433,14.1866,6.9087,112.996,32.9793,6.182,1,1,0,1
0.3037,2.569,7.5625,0.3154,17.6675,3.4237,0.1021,9.8477,6.3559,111.7826,24.3135,35.5433,1,1,0,0
0.2841,4.2802,3.7549,0.1504,8.482,2.6835,0.2322,12.0268,5.5093,112.4955,43.5829,14.988,1,1,1,0
0.1948,13.1998,2.9944,0.2774,29.9959,8.4483,0.1216,4.2572,6.4058,58.8832,14.009,25.029,1,0,0,1
0.3028,12.0609,9.0082,0.0816,12.2567,8.2179,0.0766,12.3151,1.7408,86.0268,34.3589,31.6139,0,0,1,0
0.1963,14.1229,4.1396,0.0822,33.6984,1.7561,0.0489,3.1715,0.9105,80.5266,34.6501,6.1165,0,0,1,1
0.2867,5.2123,1.3712,0.2835,19.4107,5.1855,0.1501,14.0142,4.9231,55.3332,17.1279,43.9136,1,1,0,0
0.2327,2.3778,6.8424,0.2567,35.9789,9.9998,0.2682,14.0461,2.779,56.2194,5.805,44.1653,1,0,0,0
0.3457,5.5581,5.9762,0.029,27.524,1.7752,0.2077,3.5133,1.0931,74.3322,35.779,34.352,1,0,1,0
0.3391,7.7065,0.9676,0.2049,34.526,4.0984,0.34,3.77,0.6151,118.7277,10.7938,16.6213,1,0,1,1
0.265,9.4477,8.8253,0.2593,19.7072,9.8855,0.1488,13.7521,6.7856,50.0942,44.5693,41.9238,1,1,0,0
0.0971,9.7836,5.7634,0.0745,15.4524,6.4332,0.1644,3.5788,5.2852,91.2633,23.893,7.8875,0,0,1,1
0.2054,10.3901,5.1437,0.2025,37.0663,0.3904,0.2724,4.5436,3.2828,31.8111,38.226,26.3651,1,1,1,1
0.1586,4.3743,4.1689,0.2797,6.4242,2.4071,0.3186,5.8798,7.6848,54.9958,30.6895,6.8986,0,1,1,1
0.1214,7.2715,7.2971,0.0381,39.1946,0.685,0.2186,8.3924,0.6647,102.3383,17.8474,23.9003,0,0,1,1
0.0742,8.438,1.9147,0.0646,22.6988,7.7353,0.2515,5.2404,1.6248,110.4696,18.3337,30.3734,1,0,1,1
0.3472,8.0897,5.9712,0.2317,34.0434,9.1488,0.1458,14.0308,5.0241,60.8908,19.6507,31.4559,1,0,1,1
0.3054,9.0426,3.3932,0.2467,5.1289,5.0162,0.2073,9.3396,7.2906,57.9789,12.8234,33.0627,1,1,0,0
0.3206,7.0676,1.2284,0.1475,6.5011,8.1821,0.2728,13.4676,7.1779,97.0175,2.8475,31.6922,1,0,0,0
0.3317,6.1893,6.4788,0.2203,39.7429,8.8923,0.1545,10.0541,5.0099,47.3696,31.6103,34.5766,1,0,1,1
0.1823,14.4084,6.3068,0.2077,11.9953,1.4683,0.2365,5.3614,4.8077,90.2257,29.3017,29.4839,0,1,1,0
0.1432,10.3674,0.9484,0.2039,8.3542,1.7016,0.2677,3.6846,5.2227,100.0391,16.8924,35.9655,1,1,0,0
0.0834,14.6753,9.0318,0.202,32.1311,0.8546,0.0822,4.0375,3.8042,74.9857,38.8984,25.0596,0,0,1,1
0.2662,9.3814,3.4463,0.3474,24.9603,8.2081,0.14,13.0284,5.4587,83.4723,24.6913,8.9765,1,0,1,1
0.0299,12.192,5.3799,0.1238,27.1365,2.4043,0.2329,4.2056,5.1095,100.2421,15.5759,36.0624,0,1,0,1
0.0532,12.6667,0.7475,0.0962,29.3618,4.52,0.024,3.0317,3.0005,106.4497,44.8167,27.1999,1,0,1,1
0.3174,7.8057,9.499,0.2755,31.3964,4.9034,0.2493,12.7201,3.8943,65.6208,30.517,16.1336,0,0,1,1
0.1804,12.8904,6.36,0.1629,19.8753,5.5221,0.0233,14.5574,2.4945,119.7056,43.8889,39.351,1,1,0,0
0.1873,5.0981,4.3317,0.1561,14.6148,1.6714,0.2485,12.3481,2.746,64.1149,12.7896,15.8585,1,1,1,1
0.328,7.9001,9.4965,0.3403,8.6319,0.9436,0.2739,13.4554,1.6183,104.0724,10.5118,40.492,1,1,1,0
0.0584,9.1639,2.4164,0.0751,9.2292,6.5212,0.0856,8.9341,1.6539,61.1742,7.0345,23.4011,0,0,0,0
0.1643,11.7791,1.7499,0.1069,7.9643,2.7399,0.278,7.9645,2.15,97.847,37.0744,10.6066,0,0,1,1
0.2078,12.4517,2.7436,0.2864,20.0479,2.5169,0.3457,4.894,4.0427,43.7415,48.3148,8.6726,0,0,1,1
0.0541,4.3073,7.2382,0.2981,33.1292,4.0355,0.1729,9.7661,2.5286,54.4538,3.5273,15.948,0,0,0,1
0.2563,1.3888,7.2788,0.1452,38.9497,6.686,0.1192,3.9098,1.2519,98.0835,19.131,14.761,0,0,1,1
0.3346,5.9116,6.3469,0.1428,38.9789,2.3794,0.0646,2.2548,1.5076,87.3608,32.6605,9.1223,0,0,1,1
0.0299,6.2982,4.7744,0.186,32.2849,1.8394,0.1316,14.8032,4.1542,75.7817,20.4345,41.9676,0,1,0,0
0.1466,10.3653,4.7039,0.3171,17.3402,9.7142,0.2045,6.2335,2.6422,83.3105,49.6409,4.7822,0,0,1,1
0.1001,10.7131,0.8814,0.2208,16.5751,3.7025,0.229,9.8633,1.0547,97.8793,6.8205,18.3578,1,0,1,1
0.1639,4.2072,6.2717,0.2296,30.5189,9.4056,0.3009,7.2545,3.1541,67.5016,46.9056,18.7654,0,0,1,1
0.1294,2.1971,4.4079,0.2582,31.3509,7.4011,0.2781,4.0789,4.803,93.364,18.9112,2.1169,0,0,1,1
0.2464,11.3298,6.596,0.3486,30.8724,8.1832,0.1899,12.4688,6.1145,79.3069,7.2899,30.6177,1,1,0,1
0.1626,10.0686,4.8716,0.148,8.5587,3.2319,0.237,10.0675,3.8119,88.9275,30.9422,33.5126,0,1,1,0
0.2947,14.8921,8.7747,0.1043,14.9685,5.1124,0.1047,14.4427,3.8052,80.286,36.2006,18.1818,0,0,1,1
0.1583,12.6447,9.4945,0.2363,35.3816,5.3033,0.173,9.7986,7.238,68.5547,32.3848,3.948,0,0,1,1
0.0427,2.3732,9.4189,0.0295,32.7145,4.3462,0.0663,12.0291,1.4859,63.9261,20.1563,9.6284,0,0,1,1
0.0761,7.7432,2.8812,0.1396,17.5925,1.8704,0.1237,10.3177,3.3002,90.2908,40.5748,34.0662,0,1,1,0
0.2293,7.7704,8.4432,0.3247,22.3953,7.0945,0.0406,9.0947,1.6386,63.7735,15.1116,18.5095,0,0,1,1
0.2444,10.6132,1.8587,0.3491,31.9724,8.1953,0.1868,3.7806,2.1637,59.4605,40.2027,35.2415,1,0,1,1
0.1777,12.3805,1.4058,0.2913,35.3531,9.1739,0.0454,4.8108,6.2011,103.3444,34.9339,19.4742,1,0,1,1
0.1512,3.2111,3.0028,0.2403,9.8759,2.7731,0.3408,13.2553,1.3006,94.9241,35.1789,14.6023,1,1,1,0
0.2301,10.4513,7.8042,0.1971,8.5299,2.1473,0.0263,2.3812,2.9142,116.7876,33.2338,8.5027,0,0,1,1
0.2572,11.1711,7.13,0.0832,29.4966,6.0683,0.2685,7.7358,0.769,119.8319,49.1015,41.7873,1,0,1,0
0.0458,5.8033,9.885,0.0201,20.4997,3.3429,0.1248,8.0422,6.1913,54.6953,22.5012,30.5265,0,0,0,0
0.3462,6.8362,3.8205,0.2111,28.8852,1.5483,0.2078,4.0066,1.4553,70.4472,10.7804,7.6752,0,0,1,1
0.3485,3.4867,4.6028,0.2262,37.7455,2.8033,0.2811,2.1263,1.8945,116.5849,6.1534,37.768,1,1,0,1
0.1717,8.2341,5.0351,0.2777,15.1158,7.116,0.1029,14.6323,6.4283,60.3244,4.9595,4.3934,0,0,0,1
0.0284,13.982,3.2996,0.2158,26.1717,8.2501,0.3492,6.0694,7.1776,34.0424,24.0049,1.9304,0,0,1,1
0.0292,3.2123,3.8273,0.3484,16.0654,2.2421,0.0703,9.0294,2.4312,115.3222,39.1974,25.1099,0,1,1,0
0.2453,6.372,2.0097,0.2065,17.8031,8.349,0.0809,14.6396,2.7455,54.4405,45.7616,33.9335,1,0,1,0
0.1078,8.7711,0.911,0.2095,28.6207,9.1202,0.1783,2.053,7.9086,30.1523,24.5274,21.4642,1,0,1,1
0.2766,3.6129,4.7801,0.1592,38.0796,0.7113,0.1441,2.3289,0.7502,66.4269,48.9695,30.352,1,0,1,1
0.1729,7.0677,2.1591,0.1493,26.6489,8.4205,0.199,8.0514,6.3785,101.1559,10.2721,19.9682,1,0,0,1
0.0708,7.5323,3.2142,0.0347,35.2693,4.823,0.2449,14.4015,4.9858,33.8952,4.4476,31.5923,0,0,0,1
0.3052,14.3902,9.8025,0.2382,33.0244,8.903,0.1304,13.1863,7.2444,84.9617,26.1518,35.1466,1,1,0,1
0.1625,10.9925,2.3448,0.2384,14.4271,7.8727,0.0977,8.2251,1.1437,104.0814,6.1351,18.2718,1,0,1,1
0.3227,7.7927,3.4064,0.2486,18.9551,4.4378,0.314,10.9577,6.0806,82.6015,30.9709,40.2829,1,1,1,0
0.0404,14.8544,6.2223,0.3128,20.7734,2.8163,0.2948,5.1539,2.2998,116.8049,42.1462,6.4557,0,0,1,1
0.2189,11.5128,8.3179,0.1549,8.0935,7.1192,0.0894,13.0477,2.743,40.7321,36.0209,41.6724,0,0,1,0
0.0398,5.8737,6.3723,0.2134,22.1512,9.3482,0.0438,11.5442,2.6904,41.6928,28.7399,37.7586,0,0,1,0
0.0415,8.1606,3.0916,0.1236,26.553,5.3681,0.1478,6.3095,3.9685,88.3174,31.6038,32.6525,0,0,1,1
0.1443,5.6894,1.4393,0.2324,12.951,8.2392,0.0559,7.273,5.5952,105.8668,43.3123,11.3398,1,0,1,1
0.2535,6.8648,2.3453,0.1373,31.0125,6.208,0.0591,9.8139,4.633,61.3087,37.2939,36.4763,1,0,1,1
0.07,11.8084,7.913,0.1079,17.3684,9.7281,0.0899,11.4974,0.925,63.7629,48.275,38.8269,0,0,1,0
0.3071,5.7195,2.1361,0.0726,32.6916,0.318,0.305,6.1209,3.9147,43.7119,24.0549,27.4171,1,1,1,1
0.3172,5.6965,0.4538,0.3112,8.838,1.0694,0.2497,3.6272,0.6185,118.7078,37.4239,30.5198,1,1,1,0
0.104,12.1795,0.9083,0.2712,19.929,7.739,0.1224,14.8459,7.9566,48.1927,27.0972,7.6948,1,0,1,1
0.2369,2.2072,3.5315,0.0859,17.2634,4.2605,0.2244,8.5421,7.8616,99.3983,15.9622,39.7475,1,0,0,0
0.1863,10.0624,4.5976,0.318,30.2306,4.0499,0.1425,7.2667,2.4091,87.144,19.8765,9.6304,0,0,1,1
0.1838,2.2303,6.8215,0.3323,22.9059,3.0801,0.2934,7.8047,4.6351,118.1091,11.2307,20.4504,1,1,0,1
0.2789,12.6074,1.235,0.1242,26.1745,4.3558,0.326,8.7377,7.2592,91.4962,16.2432,22.0365,1,0,0,1
0.276,3.2217,5.7801,0.2877,10.163,1.6704,0.2721,4.9801,5.1202,80.8314,22.3228,24.9317,1,1,1,0
0.327,13.5434,1.9352,0.0668,26.0459,3.3532,0.1859,10.1095,7.858,68.7417,6.0844,41.1136,1,0,0,0
0.1022,1.2047,6.67,0.1292,37.3212,1.5249,0.2114,13.6526,1.0734,114.8939,17.2996,31.6921,0,0,1,1
0.1443,1.6478,2.697,0.3387,8.163,0.4213,0.3083,3.8833,6.4647,58.392,26.8668,31.891,1,1,1,0
0.1418,3.4474,6.0086,0.0784,33.3714,3.8514,0.276,8.3495,0.6611,84.7303,11.2338,29.3355,0,0,1,1
0.1287,14.1604,1.1692,0.1626,11.0642,4.7934,0.2342,3.5646,0.9476,112.8597,34.125,33.7751,1,0,1,0
0.1335,8.4039,0.5257,0.1202,12.4965,6.2656,0.1753,8.3272,1.8673,91.0433,24.0194,30.4063,1,0,1,0
0.1629,5.7551,1.5321,0.1928,12.5216,7.5953,0.1076,13.662,3.5591,60.1879,6.5927,1.0563,1,0,0,1
0.2773,3.335,8.0125,0.1946,20.2038,9.1033,0.2334,6.0285,7.4617,117.0918,8.6559,39.4936,1,0,0,0
0.0907,3.2444,9.9778,0.2618,24.0024,5.2102,0.1012,8.6007,7.3409,52.0363,41.6978,37.4635,0,0,1,0
0.2733,7.6741,1.14,0.2485,8.1602,4.11,0.225,12.1934,7.2481,51.3051,47.941,5.6351,1,1,1,1
0.3329,10.4386,1.8076,0.1975,15.4643,3.6607,0.1631,5.3503,5.2619,79.7814,32.964,9.1626,1,0,1,1
0.2076,8.1444,6.1345,0.309,11.8656,1.8401,0.3013,14.7037,6.2428,59.3601,6.847,9.7613,1,1,0,1
0.2593,6.3786,6.5318,0.0923,37.5855,3.6831,0.3074,11.5918,4.0732,79.0345,6.9537,1.3157,0,0,0,1
0.2287,12.4763,2.415,0.0881,31.9485,1.1746,0.0782,12.3846,6.7309,118.5538,26.0447,25.6043,1,1,0,1
0.2429,10.4706,2.262,0.1173,12.022,6.5067,0.0825,2.6293,5.1852,79.728,19.9619,1.2365,0,0,1,1
0.1392,12.9845,3.4243,0.317,13.8752,7.2609,0.3279,9.4055,4.2966,119.8853,27.2988,17.0072,0,0,1,1
0.1482,12.1799,7.9804,0.2468,32.5367,8.3948,0.3122,12.7498,2.8402,33.4692,41.9743,11.8628,0,0,1,1
0.0534,4.1827,4.5902,0.192,15.1385,7.7315,0.3394,8.5971,7.5216,81.6427,5.545,18.894,0,0,0,1
0.1951,14.2371,9.2221,0.2001,37.283,0.4122,0.0783,3.8175,4.4368,96.0421,25.8629,20.5695,0,0,1,1
0.2711,5.1959,0.3351,0.2014,13.6875,6.4349,0.0221,12.7305,6.8482,63.0225,32.8595,35.8165,1,1,0,0
0.0503,4.982,0.7286,0.1607,30.6725,6.2931,0.0252,11.0054,6.3494,49.1033,5.831,25.7316,1,0,0,1
0.187,11.5922,6.3555,0.3299,14.6137,5.316,0.1323,3.2222,2.7636,48.6866,42.8042,3.1268,0,0,1,1
0.1322,2.3795,7.6789,0.3126,5.3157,6.3775,0.1025,3.0386,1.722,52.6338,38.98,40.0037,0,0,1,0
0.1282,5.569,1.6568,0.1213,16.0552,1.2481,0.1656,14.6018,6.3721,34.281,44.8035,19.5084,1,1,1,1
0.1915,3.7492,7.1596,0.2325,28.7353,0.7893,0.0933,14.7103,4.7929,79.2734,41.6523,33.9704,1,1,0,0
0.0222,7.9357,9.8653,0.0383,20.6655,8.41,0.1411,2.4892,3.5723,88.1991,40.9939,8.8233,0,0,1,1
0.3467,14.6347,1.651,0.2698,23.2332,2.8149,0.1715,6.4055,4.1213,35.2463,24.5871,26.5898,1,1,1,1
0.3326,10.6572,0.726,0.1775,8.2757,6.2605,0.0687,6.4821,6.5924,76.5541,23.682,15.3063,1,1,0,1
0.264,14.3818,3.1599,0.0753,5.3519,0.9934,0.0878,4.6454,2.3148,48.5191,20.8526,14.0563,0,1,1,1
0.1078,5.6091,5.7201,0.2336,14.3228,4.9534,0.2632,14.66,3.4131,50.8099,39.5437,33.9606,0,1,1,0
0.1544,13.0916,9.9639,0.1469,33.367,8.6123,0.2719,2.4041,1.0228,109.7404,6.7408,8.4385,0,0,1,1
0.2881,14.8489,8.6463,0.0793,34.3137,8.8188,0.1217,3.0367,1.302,68.2706,5.7616,19.7473,0,0,1,1
0.0864,4.4164,4.9506,0.2765,34.4429,5.9575,0.2357,6.5977,3.0234,56.3462,41.6309,13.5113,0,0,1,1
0.2733,6.4576,8.1763,0.2006,6.6278,2.0344,0.1252,2.3902,1.5888,79.7811,29.7866,28.9637,0,1,1,0
0.1548,7.7044,8.3558,0.1165,16.3288,3.4544,0.1933,2.0933,4.6491,59.136,29.7821,22.4095,0,0,1,1
0.2656,8.733,2.0431,0.1953,13.8012,5.1343,0.1087,2.089,5.362,49.8293,4.1664,23.7561,1,0,0,0
0.0526,5.119,2.7804,0.2199,31.6455,7.6771,0.338,7.2933,6.022,110.4236,48.7156,41.1723,0,0,1,0
0.0939,13.9023,3.8453,0.3111,7.6697,9.6265,0.0532,8.5021,4.4932,114.9726,14.7829,1.8384,0,0,1,1
0.0599,13.637,5.2396,0.3359,22.0407,9.2371,0.1123,6.8404,0.7563,52.738,9.9311,35.8365,0,0,1,0
0.2162,10.8139,2.0524,0.1918,18.0192,8.407,0.339,4.2619,3.6986,109.8245,19.7764,39.9062,1,0,1,0
0.0643,8.9933,4.4829,0.2762,28.4439,9.6546,0.2509,8.1713,2.3493,76.8376,13.3629,4.699,0,0,1,1
0.0746,6.0256,0.8374,0.2658,31.0066,3.4823,0.3248,4.3398,5.5084,61.7663,45.8398,31.2296,1,0,1,1
0.0329,8.7152,7.244,0.1607,8.252,2.7285,0.3422,10.7843,6.3657,107.8579,24.841,41.6062,0,1,1,0
0.1293,6.6412,1.4268,0.0562,16.9325,9.3786,0.0265,4.5108,5.2108,43.5611,12.1645,25.3776,1,0,0,0
0.07,6.9067,8.551,0.1924,20.5069,7.1794,0.1896,3.0609,3.2766,32.3102,5.9888,21.6266,0,0,0,1
0.1174,14.709,9.6206,0.2235,11.9822,8.5331,0.0287,13.3277,1.2166,83.6102,13.0453,6.1429,0,0,1,1
0.0471,13.9867,3.1327,0.1572,6.6854,6.2188,0.3074,14.0083,4.3962,44.292,21.5385,42.9029,0,0,1,0
0.2521,9.5922,0.7641,0.3247,8.5448,3.3188,0.2434,10.1199,5.1915,109.9959,40.141,43.0206,1,1,1,0
0.1183,6.637,1.6623,0.108,34.7935,4.4623,0.2699,9.2789,7.4619,60.8941,27.5404,19.8361,1,0,1,1
0.2158,7.9015,9.8009,0.1881,5.5421,0.4881,0.1097,3.9818,5.4095,75.6018,31.3902,40.5049,0,1,1,0
0.3059,13.9773,5.1448,0.2427,9.0508,9.1594,0.3357,8.8118,7.8048,90.7463,29.744,40.0755,1,1,1,0
0.3067,1.9318,9.8821,0.1514,17.7071,3.8311,0.2765,14.6279,3.8859,50.9036,6.7924,40.3168,1,1,0,0
0.2011,13.2687,4.2347,0.3267,34.7967,1.8065,0.2512,4.9288,4.4757,83.5631,49.5418,36.0085,1,1,1,1
0.3156,4.7193,9.404,0.211,25.845,4.9873,0.2967,11.7141,4.2866,48.1043,11.4279,3.4092,0,0,1,1
0.1106,1.7389,2.9024,0.1754,38.1309,6.6961,0.2598,13.3353,5.7244,75.0193,36.1598,17.4197,1,0,1,1
0.0656,9.4942,2.6914,0.1914,34.988,1.5355,0.1996,8.0274,7.0075,67.5358,32.9871,2.727,0,0,1,1
0.2499,13.9171,9.3468,0.2631,15.6227,1.7932,0.3298,4.9999,3.3282,67.8934,46.0168,20.5024,0,1,1,1
0.1851,3.3785,5.3754,0.1289,29.5481,8.46,0.1862,8.2803,6.1456,72.3702,49.1602,29.1891,1,0,1,1
0.1702,14.6823,6.3305,0.2879,12.7103,5.3497,0.0955,10.4881,4.7856,77.8696,19.3108,29.7212,1,1,0,0
0.2444,4.7489,1.5234,0.1206,23.523,8.4838,0.1254,12.3839,3.6871,82.3559,22.9616,23.5274,1,0,1,1
0.3487,10.7136,8.0063,0.2255,22.269,8.4303,0.2804,4.1283,5.2877,107.1474,13.4295,13.6588,0,0,1,1
0.1183,4.1792,4.0,0.3476,29.7312,7.6281,0.0882,13.9667,5.3908,86.4544,25.2691,2.0399,0,0,1,1
0.2777,1.4745,7.8319,0.0985,14.9285,2.7904,0.2505,13.0548,2.0601,109.4323,12.8536,12.4995,0,0,1,1
0.1072,11.3258,2.8477,0.3027,20.6155,7.7592,0.1755,7.1411,7.1239,57.9867,29.2956,9.3228,0,0,1,1
0.1349,1.0021,6.4741,0.1495,29.3918,3.0244,0.2082,7.6256,7.824,93.5458,26.5679,36.3842,1,1,0,0
0.3103,12.7604,3.0619,0.0832,20.9691,5.0755,0.2549,9.4049,0.9089,80.3397,30.0485,7.064,0,0,1,1
0.0866,14.1658,1.3504,0.0927,25.0816,2.7501,0.2246,11.1322,3.9211,68.1755,11.6493,20.0226,1,0,0,1
0.1765,13.05,7.4336,0.0984,14.1001,8.038,0.2516,9.9606,4.2469,100.8471,32.805,43.3975,0,0,1,0
0.3436,7.0622,1.3488,0.1702,10.086,9.9377,0.1426,14.093,7.6988,61.0311,7.6264,12.2667,1,0,0,1
0.0357,5.3674,4.0767,0.2322,29.0944,9.922,0.1303,3.196,2.0181,54.6806,11.7984,44.9008,0,0,1,0
0.3461,3.4462,3.1907,0.273,28.2312,4.4101,0.2972,14.7818,6.1124,111.3908,47.641,25.0052,1,1,1,1
0.3307,7.6699,7.1071,0.2054,34.8877,4.2941,0.0966,10.8511,5.6862,71.0232,18.4996,43.4864,1,1,0,0
0.1559,8.1449,1.6337,0.0942,6.8548,4.8465,0.1718,5.3429,6.4192,116.7863,40.8332,20.5553,1,0,1,0
0.2805,14.3761,4.0255,0.2387,38.455,3.4972,0.0982,6.4427,2.1978,67.2628,14.6593,17.4304,0,0,1,1
0.0454,14.3665,0.573,0.1926,27.8214,6.5542,0.1271,7.7186,6.5171,42.7199,21.9973,7.264,0,0,1,1
0.1296,11.4273,0.9852,0.3101,26.5213,0.9212,0.2385,13.6175,1.8686,68.9175,35.1605,17.1599,1,1,1,1
0.0441,12.9775,8.0795,0.2325,33.1362,1.6244,0.2003,6.8804,3.6766,40.3951,13.2239,13.475,0,0,1,1
0.2,1.6159,6.6155,0.151,21.1831,6.8429,0.0257,14.2745,7.0766,32.6074,13.2741,37.4083,1,0,0,0
0.1734,11.5124,8.7061,0.287,13.0554,1.3036,0.179,14.0501,5.9025,33.5708,34.385,12.1584,0,1,1,1
0.2379,2.2266,7.2794,0.1178,8.5801,0.9787,0.0652,11.4878,7.3284,30.5945,41.3264,32.3717,1,1,0,0
0.2218,14.707,0.5526,0.1695,39.5742,1.0647,0.2797,13.0036,5.9077,68.1573,4.5152,37.9505,1,1,0,1
0.2185,3.7462,0.6676,0.2553,5.8698,0.4206,0.3448,6.9656,7.4873,98.5196,42.2805,42.2201,1,1,1,0
0.3491,7.1788,1.5605,0.3089,19.4504,9.9838,0.1627,10.3687,3.1095,113.5394,11.8767,37.3614,1,0,1,0
0.3133,10.7569,8.6695,0.042,14.7634,4.7495,0.3378,4.8532,3.9684,64.9824,16.2665,29.5372,0,0,1,0
0.2306,12.5361,4.1801,0.2475,13.8495,5.3695,0.088,6.2789,5.06,82.0874,27.1518,29.485,1,1,0,0
0.0217,3.2337,4.0457,0.2338,38.5573,4.2002,0.215,7.1564,1.0887,65.4178,29.8344,5.0461,0,0,1,1
0.0248,6.8313,3.9215,0.2952,17.597,7.0613,0.217,6.0257,4.3312,56.1822,25.3092,25.9568,0,0,1,0
0.1325,8.3347,6.15,0.3154,20.2982,5.3864,0.1108,9.497,7.1037,68.8746,35.9367,11.033,0,0,1,1
0.2999,9.1822,6.4493,0.0495,34.1881,9.6698,0.2579,9.597,4.3613,117.8568,30.2735,11.5973,0,0,1,1
0.1762,5.7788,2.7839,0.181,16.9958,4.9928,0.054,7.1545,3.8086,59.4327,26.2389,15.3434,1,0,1,1
0.0786,11.7362,1.3475,0.0833,28.8326,1.5579,0.1985,11.548,7.4051,113.855,41.4293,40.2921,1,1,1,1
0.2668,6.6577,1.0959,0.1593,39.623,4.7962,0.2545,11.446,2.6021,56.7242,21.2475,42.763,1,0,1,1
0.3447,8.164,7.0868,0.1149,27.5193,9.6427,0.0693,14.4294,4.4114,66.269,42.1222,10.2225,1,0,1,1
0.3139,1.6615,6.9958,0.258,5.9218,2.2045,0.1395,10.7405,6.8586,109.2768,26.0724,23.5934,1,1,0,0
0.3199,10.7239,1.7136,0.2801,39.2428,1.5518,0.1989,4.8599,1.2718,76.6513,24.2232,25.3914,1,0,1,1
0.171,10.1221,7.5442,0.2478,33.4561,6.1485,0.1693,14.22,3.0735,100.9077,39.2972,24.0591,0,0,1,1
0.0465,1.5907,8.2667,0.0775,6.8222,8.9111,0.1589,13.6853,0.9903,48.8686,3.9553,3.7201,0,0,1,1
0.304,8.1463,2.8397,0.1434,6.5271,1.3673,0.1802,3.3812,5.1166,62.8479,21.6847,39.0782,1,1,0,0
0.3152,3.477,3.3767,0.0836,7.3898,2.4152,0.2369,5.1077,7.624,107.5879,9.4072,4.825,1,0,0,1
0.3334,3.4634,3.6032,0.3227,5.9203,1.0701,0.2656,6.8231,4.5525,65.1751,32.9308,27.7603,1,1,1,0
0.1366,13.1145,7.4265,0.2846,39.4208,2.2692,0.2671,13.4083,3.015,46.061,31.4406,41.2667,1,1,1,1
0.0704,4.4679,6.7383,0.1723,20.2084,1.355,0.2987,9.7696,6.1457,32.0768,36.5768,24.336,0,1,1,1
0.1418,10.2627,8.8994,0.0944,8.0156,8.6879,0.2383,3.2718,6.4473,119.9396,8.2904,22.7326,0,0,0,0
0.3136,10.2889,0.8755,0.0348,28.4533,6.29,0.0392,6.8443,2.3252,117.2059,13.8906,5.6373,1,0,0,1
